epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,50.5394,1.1291,1.69244,1.55646,0.87515,0.79177,0.92167,0.43256,1.80334,1.80565,2.30425,0.00035382,0.00035382,0.00035382
78,51.1704,0.77596,4.3311,1.09474,0.87515,0.79177,0.92167,0.43256,1.80334,1.80565,2.30425,0.000339673,0.000339673,0.000339673
79,51.8051,1.15853,1.51658,1.55226,0.87515,0.79177,0.92167,0.43256,1.80334,1.80565,2.30425,0.000325526,0.000325526,0.000325526
80,52.4439,1.02276,1.5949,1.45721,0.87515,0.79177,0.92167,0.43256,1.80334,1.80565,2.30425,0.000311379,0.000311379,0.000311379
81,53.0745,1.11075,1.51188,1.48142,0.87515,0.79177,0.92167,0.43256,1.80334,1.80565,2.30425,0.000297232,0.000297232,0.000297232
82,53.7251,1.06983,1.31622,1.32943,0.82861,0.77403,0.84154,0.42435,1.8684,1.7136,2.34155,0.000283085,0.000283085,0.000283085
83,54.3499,1.06104,1.43606,1.46291,0.82861,0.77403,0.84154,0.42435,1.8684,1.7136,2.34155,0.000268938,0.000268938,0.000268938
84,54.9728,1.18342,1.63739,1.55075,0.82861,0.77403,0.84154,0.42435,1.8684,1.7136,2.34155,0.000254791,0.000254791,0.000254791
85,55.5982,0.93476,1.31472,1.29706,0.82861,0.77403,0.84154,0.42435,1.8684,1.7136,2.34155,0.000240644,0.000240644,0.000240644
86,56.2346,0.99516,1.55641,1.40949,0.82861,0.77403,0.84154,0.42435,1.8684,1.7136,2.34155,0.000226497,0.000226497,0.000226497
87,56.8779,1.11193,1.70957,1.5057,0.87535,0.75914,0.88814,0.42915,1.83204,1.49942,2.38269,0.000212349,0.000212349,0.000212349
88,57.5096,1.1113,1.55137,1.5836,0.87535,0.75914,0.88814,0.42915,1.83204,1.49942,2.38269,0.000198202,0.000198202,0.000198202
89,58.2783,1.02522,1.29319,1.354,0.87535,0.75914,0.88814,0.42915,1.83204,1.49942,2.38269,0.000184055,0.000184055,0.000184055
90,58.8945,1.07934,1.61799,1.47546,0.87535,0.75914,0.88814,0.42915,1.83204,1.49942,2.38269,0.000169908,0.000169908,0.000169908
91,59.651,1.01727,1.53737,1.49158,0.87535,0.75914,0.88814,0.42915,1.83204,1.49942,2.38269,0.000155761,0.000155761,0.000155761
92,60.3029,0.93414,1.57149,1.35933,0.79126,0.88889,0.85795,0.46297,1.86808,1.31292,2.50111,0.000141614,0.000141614,0.000141614
93,60.9286,1.02642,1.53878,1.36024,0.79126,0.88889,0.85795,0.46297,1.86808,1.31292,2.50111,0.000127467,0.000127467,0.000127467
94,61.5456,0.76023,4.46477,1.09512,0.79126,0.88889,0.85795,0.46297,1.86808,1.31292,2.50111,0.00011332,0.00011332,0.00011332
95,62.1838,1.02817,1.5772,1.46775,0.79126,0.88889,0.85795,0.46297,1.86808,1.31292,2.50111,9.91726e-05,9.91726e-05,9.91726e-05
96,62.8287,0.78533,4.33419,1.11489,0.79126,0.88889,0.85795,0.46297,1.86808,1.31292,2.50111,8.50255e-05,8.50255e-05,8.50255e-05
97,63.457,0.83866,1.5165,1.24633,0.79126,0.88889,0.85795,0.46297,1.86808,1.31292,2.50111,7.08784e-05,7.08784e-05,7.08784e-05
98,64.0944,1.2853,1.74793,1.60273,0.78022,0.85934,0.85796,0.48517,1.79345,1.31188,2.45953,5.67313e-05,5.67313e-05,5.67313e-05
99,64.7208,1.10043,1.76437,1.63908,0.78022,0.85934,0.85796,0.48517,1.79345,1.31188,2.45953,4.25842e-05,4.25842e-05,4.25842e-05
100,72.3401,0.99691,1.62324,1.40259,0.78022,0.85934,0.85796,0.48517,1.79345,1.31188,2.45953,2.84371e-05,2.84371e-05,2.84371e-05
